Datetime,Open,High,Low,Close,Volume
2025-08-12T16:00:00.000+0000,124.42,125.44,123.78,125.2,5423.172
2025-08-12T18:00:00.000+0000,125.22,128.89,124.76,128.87,13108.763
2025-08-12T20:00:00.000+0000,128.88,131.67,128.39,129.9,22809.2339
2025-08-12T22:00:00.000+0000,129.95,131.92,129.8,130.45,11123.0682
2025-08-13T00:00:00.000+0000,130.47,131.49,128.76,128.77,8622.796
2025-08-13T02:00:00.000+0000,128.76,131.42,128.63,131.29,6370.408
2025-08-13T04:00:00.000+0000,131.31,134.13,131.16,131.36,9871.3679
2025-08-13T06:00:00.000+0000,131.51,131.67,130.51,131.67,6317.253
2025-08-13T08:00:00.000+0000,131.66,132.94,131.09,132.53,6062.187
2025-08-13T10:00:00.000+0000,132.58,134.12,131.7,131.98,5098.689
2025-08-13T12:00:00.000+0000,131.98,132.39,130.8,131.97,8432.384
2025-08-13T14:00:00.000+0000,131.99,132.26,129.38,130.07,11649.639
2025-08-13T16:00:00.000+0000,130.06,131.13,129.39,129.71,5181.113
2025-08-13T18:00:00.000+0000,129.71,130.3,128.9,130.28,2113.912
2025-08-13T20:00:00.000+0000,130.24,130.25,128.93,129.36,3137.071
2025-08-13T22:00:00.000+0000,129.36,131.24,129.18,130.93,2998.961
2025-08-14T00:00:00.000+0000,130.91,132.57,130.61,132.11,4870.2927
2025-08-14T02:00:00.000+0000,132.1,133.28,131.96,132.96,5493.344
2025-08-14T04:00:00.000+0000,133.07,133.85,131.18,131.19,5158.325
2025-08-14T06:00:00.000+0000,131.17,131.92,129.31,129.5,6429.197
2025-08-14T08:00:00.000+0000,129.57,129.57,127.58,128.95,6902.674
2025-08-14T10:00:00.000+0000,128.95,129.07,126.83,127.6,4101.588
2025-08-14T12:00:00.000+0000,127.62,128.16,120.47,123.09,25300.124
2025-08-14T14:00:00.000+0000,123.16,124.26,122.3,122.76,5567.503
2025-08-14T16:00:00.000+0000,122.75,122.77,120.18,120.97,12308.14
2025-08-14T18:00:00.000+0000,120.86,121.95,119.54,121.75,6978.811
2025-08-14T20:00:00.000+0000,121.71,122.03,119.57,120.83,7374.316
2025-08-14T22:00:00.000+0000,120.81,121.89,120.18,121.31,5494.115
2025-08-15T00:00:00.000+0000,121.31,122.14,120.76,122.01,2580.42
2025-08-15T02:00:00.000+0000,122.06,123.0,121.61,122.76,2141.945
2025-08-15T04:00:00.000+0000,122.76,122.93,121.52,122.26,2976.448
2025-08-15T06:00:00.000+0000,122.27,123.24,121.0,121.49,3856.873
2025-08-15T08:00:00.000+0000,121.48,121.82,120.54,121.05,1644.696
2025-08-15T10:00:00.000+0000,121.07,121.54,120.27,121.11,3005.014
2025-08-15T12:00:00.000+0000,121.05,121.75,119.19,119.32,14852.788
2025-08-15T14:00:00.000+0000,119.28,120.11,116.57,117.61,17465.908
2025-08-15T16:00:00.000+0000,117.61,119.12,116.61,118.67,12048.654
2025-08-15T18:00:00.000+0000,118.64,118.83,117.06,117.49,5421.938
2025-08-15T20:00:00.000+0000,117.54,118.79,117.24,118.57,10119.957
2025-08-15T22:00:00.000+0000,118.57,119.87,118.35,119.17,4873.253
2025-08-16T00:00:00.000+0000,119.14,120.83,118.97,120.14,4429.759
2025-08-16T02:00:00.000+0000,120.14,120.31,119.72,119.82,2645.353
2025-08-16T04:00:00.000+0000,119.89,120.37,118.77,118.83,4045.235
2025-08-16T06:00:00.000+0000,118.89,119.2,117.99,118.77,10381.664
2025-08-16T08:00:00.000+0000,118.79,119.06,118.25,118.3,2543.57
2025-08-16T10:00:00.000+0000,118.31,118.87,117.2,117.23,4603.371
2025-08-16T12:00:00.000+0000,117.28,118.86,117.2,117.92,1800.977
2025-08-16T14:00:00.000+0000,118.0,119.33,117.88,118.85,1888.127
2025-08-16T16:00:00.000+0000,118.87,119.48,118.76,119.36,2984.804
2025-08-16T18:00:00.000+0000,119.33,120.59,119.21,119.94,3200.505
2025-08-16T20:00:00.000+0000,119.96,120.26,119.48,119.81,4136.599
2025-08-16T22:00:00.000+0000,119.82,121.03,119.65,121.03,1680.208
2025-08-17T00:00:00.000+0000,121.05,121.05,119.79,120.07,2139.574
2025-08-17T02:00:00.000+0000,120.05,120.84,119.8,120.66,1176.443
2025-08-17T04:00:00.000+0000,120.62,121.93,120.62,121.67,3351.173
2025-08-17T06:00:00.000+0000,121.7,123.2,121.24,122.94,2862.173
2025-08-17T08:00:00.000+0000,122.97,122.99,121.7,122.18,1991.92
2025-08-17T10:00:00.000+0000,122.21,122.51,121.63,122.41,2186.362
2025-08-17T12:00:00.000+0000,122.42,122.51,121.67,121.87,3195.2719
2025-08-17T14:00:00.000+0000,121.82,122.34,120.74,122.28,3289.638
2025-08-17T16:00:00.000+0000,122.36,122.99,120.95,121.86,2933.906
2025-08-17T18:00:00.000+0000,121.83,122.27,120.51,120.6,2378.013
2025-08-17T20:00:00.000+0000,120.75,121.3,120.61,120.63,1320.411
2025-08-17T22:00:00.000+0000,120.63,121.71,120.59,120.74,1391.112
2025-08-18T00:00:00.000+0000,120.75,120.92,118.73,118.96,5245.933
2025-08-18T02:00:00.000+0000,118.91,119.1,115.33,116.63,13335.839
2025-08-18T04:00:00.000+0000,116.51,117.33,115.55,117.24,4301.695
2025-08-18T06:00:00.000+0000,117.22,117.23,115.39,116.09,2563.597
2025-08-18T08:00:00.000+0000,116.1,116.9,115.32,116.75,1746.151
2025-08-18T10:00:00.000+0000,116.76,117.03,116.24,116.44,1906.888
2025-08-18T12:00:00.000+0000,116.37,118.48,116.28,117.14,5987.417
2025-08-18T14:00:00.000+0000,117.14,118.41,116.94,118.08,5535.424
2025-08-18T16:00:00.000+0000,118.09,118.45,116.65,118.04,4152.797
2025-08-18T18:00:00.000+0000,117.87,118.8,117.42,117.84,1791.121
2025-08-18T20:00:00.000+0000,117.85,118.33,117.14,118.22,2498.907
2025-08-18T22:00:00.000+0000,118.2,119.12,117.36,117.74,1212.121
2025-08-19T00:00:00.000+0000,117.77,119.04,116.79,116.93,5906.22
2025-08-19T02:00:00.000+0000,116.9,117.06,115.15,115.47,3773.582
2025-08-19T04:00:00.000+0000,115.46,117.39,114.72,116.76,8395.957
2025-08-19T06:00:00.000+0000,116.6,116.82,113.44,115.0,12281.019
2025-08-19T08:00:00.000+0000,115.01,115.81,114.31,115.7,6302.586
2025-08-19T10:00:00.000+0000,115.75,116.37,115.52,116.27,1930.845
2025-08-19T12:00:00.000+0000,116.21,116.75,115.08,115.85,4370.702
2025-08-19T14:00:00.000+0000,115.89,116.2,113.23,114.08,19197.194
2025-08-19T16:00:00.000+0000,114.14,114.51,112.94,114.06,4323.774
2025-08-19T18:00:00.000+0000,114.04,114.17,112.25,113.09,6551.335
2025-08-19T20:00:00.000+0000,113.09,115.49,112.77,114.71,2695.9
2025-08-19T22:00:00.000+0000,114.75,114.83,112.31,112.65,2930.186
2025-08-20T00:00:00.000+0000,112.66,114.06,112.43,113.75,6755.589
2025-08-20T02:00:00.000+0000,113.84,114.49,113.49,113.72,2583.368
2025-08-20T04:00:00.000+0000,113.67,114.56,113.61,114.22,1706.408
2025-08-20T06:00:00.000+0000,114.23,114.66,113.67,113.92,1780.6385
2025-08-20T08:00:00.000+0000,113.94,115.46,113.83,114.57,5802.357
2025-08-20T10:00:00.000+0000,114.58,115.26,113.44,114.73,6440.611
2025-08-20T12:00:00.000+0000,114.74,115.52,112.83,113.13,7886.211
2025-08-20T14:00:00.000+0000,113.12,116.01,112.1,114.97,16556.116
2025-08-20T16:00:00.000+0000,114.98,116.61,114.98,116.3,4566.8785
2025-08-20T18:00:00.000+0000,116.3,117.11,114.42,117.04,7636.0113
2025-08-20T20:00:00.000+0000,117.06,117.11,116.12,116.64,6407.438
2025-08-20T22:00:00.000+0000,116.69,116.91,115.97,116.04,3076.883
2025-08-21T00:00:00.000+0000,116.01,117.0,115.57,117.0,6174.238
2025-08-21T02:00:00.000+0000,116.94,117.29,115.56,116.04,2640.946
2025-08-21T04:00:00.000+0000,116.04,116.4,115.57,116.33,13783.197
2025-08-21T06:00:00.000+0000,116.34,116.34,115.1,116.12,8652.334
2025-08-21T08:00:00.000+0000,116.12,116.34,114.87,115.31,6407.776
2025-08-21T10:00:00.000+0000,115.31,115.42,114.56,114.72,4308.783
2025-08-21T12:00:00.000+0000,114.71,115.7,114.27,114.73,6690.832
2025-08-21T14:00:00.000+0000,114.74,116.19,114.03,114.08,14481.047
2025-08-21T16:00:00.000+0000,114.14,114.85,113.48,114.73,12761.094
2025-08-21T18:00:00.000+0000,114.75,115.45,114.37,114.64,5125.087
2025-08-21T20:00:00.000+0000,114.68,115.59,114.41,115.27,6225.871
2025-08-21T22:00:00.000+0000,115.27,115.36,114.3,114.77,1132.806
2025-08-22T00:00:00.000+0000,114.75,115.43,114.23,115.21,2117.846
2025-08-22T02:00:00.000+0000,115.19,116.5,115.07,115.52,3152.834
2025-08-22T04:00:00.000+0000,115.56,116.47,115.56,116.11,1759.368
2025-08-22T06:00:00.000+0000,116.1,116.69,115.6,116.33,7584.046
2025-08-22T08:00:00.000+0000,116.32,116.83,115.74,116.21,1782.124
2025-08-22T10:00:00.000+0000,116.21,116.21,114.3,114.36,3863.981
2025-08-22T12:00:00.000+0000,114.37,115.19,112.56,114.25,10539.883
2025-08-22T14:00:00.000+0000,114.23,120.51,114.23,119.47,30968.681
2025-08-22T16:00:00.000+0000,119.47,122.74,119.47,122.05,7176.946
2025-08-22T18:00:00.000+0000,122.06,122.78,121.91,122.52,4471.844
2025-08-22T20:00:00.000+0000,122.5,123.66,122.47,123.11,6114.493
2025-08-22T22:00:00.000+0000,123.05,123.42,122.34,122.96,5895.776
2025-08-23T00:00:00.000+0000,122.97,123.36,121.19,121.8,4333.846
2025-08-23T02:00:00.000+0000,121.83,121.98,119.79,120.21,5079.7808
2025-08-23T04:00:00.000+0000,120.2,122.62,120.2,122.35,2795.048
2025-08-23T06:00:00.000+0000,122.37,122.74,121.67,121.75,4047.671
2025-08-23T08:00:00.000+0000,121.78,122.09,121.4,121.75,1876.095
2025-08-23T10:00:00.000+0000,121.75,121.9,121.12,121.26,1220.145
2025-08-23T12:00:00.000+0000,121.28,121.79,120.7,120.86,3060.069
2025-08-23T14:00:00.000+0000,120.88,121.37,120.49,120.89,1685.919
2025-08-23T16:00:00.000+0000,120.89,121.33,120.41,121.22,1231.411
2025-08-23T18:00:00.000+0000,121.25,121.25,120.68,121.16,519.219
2025-08-23T20:00:00.000+0000,121.1,121.18,120.65,120.78,4213.58
2025-08-23T22:00:00.000+0000,120.77,121.63,120.73,121.45,855.1065
